,Jugador,Posición,Goles en contra de tiro libre,Goles en contra de tiro de esquina,% de pases > 40 yds completados,Distancia media de los pases,% saques de meta > 40 yds completados,Distancia media de los saques de meta,% pases cruzados detenidos
0,Julen Agirrezabala,GK,0,0,35.9,32.4,95.5,64.5,4.9
1,Kepa Arrizabalaga,GK,0,0,19.2,27.0,25.7,30.6,3.8
2,Augusto Batalla,GK,0,6,45.8,39.4,77.9,55.9,8.4
3,Yassine Bounou,GK,0,0,41.7,36.1,85.7,57.4,0.0
4,Claudio Bravo,GK,0,0,30.2,30.6,48.3,40.1,4.0
5,Cárdenas,GK,0,0,36.1,36.3,50.0,53.5,0.0
6,Thibaut Courtois,GK,0,0,16.2,26.7,11.1,27.8,4.3
7,Cristian,GK,0,1,26.7,29.1,33.3,32.7,0.0
8,Iván Cuéllar,GK,0,0,31.3,33.0,33.3,35.7,16.7
9,Stole Dimitrievski,GK,1,5,47.1,39.4,60.3,48.4,4.3
10,Marko Dmitrović,GK,0,3,32.5,32.7,58.2,45.9,7.2
11,Jaume Doménech,GK,1,2,62.5,40.5,71.4,51.4,5.3
12,Aarón Escandell,GK,0,0,27.4,30.4,50.0,41.3,4.2
13,Aitor Fernández,GK,0,2,56.3,42.5,68.2,49.7,1.4
14,Raúl Fernández,GK,0,1,37.5,35.7,82.4,62.1,11.1
15,Fernando,GK,0,1,39.8,35.6,53.8,44.0,5.6
16,André Ferreira,GK,0,2,31.4,32.2,58.2,44.3,3.1
17,Daniel Fuzato,GK,0,1,50.0,39.2,100.0,71.8,20.0
18,Paulo Gazzaniga,GK,0,8,25.6,30.0,52.0,44.8,7.7
19,David Gil,GK,0,0,76.9,49.3,93.8,63.5,7.7
20,Dominik Greif,GK,0,0,52.2,42.0,66.7,54.2,0.0
21,Vicente Guaita,GK,0,5,39.4,35.5,58.2,45.3,5.5
22,Sergio Herrera,GK,0,6,52.0,40.4,71.2,51.2,6.2
23,Filip Jørgensen,GK,1,9,24.5,29.7,41.6,37.8,5.2
24,Jeremías Ledesma,GK,0,6,60.4,44.0,85.6,62.1,10.1
25,Andriy Lunin,GK,0,2,13.7,25.2,20.7,28.7,9.5
26,Giorgi Mamardashvili,GK,0,4,57.3,41.4,71.8,53.4,8.5
27,Diego Mariño,GK,0,0,20.0,24.1,0.0,16.5,0.0
28,Unai Marrero,GK,0,0,45.9,37.0,100.0,63.4,3.7
29,Marc Martínez,GK,0,3,33.8,33.3,58.3,46.3,0.0
30,Luís Maximiano,GK,0,7,38.4,35.5,61.0,46.3,4.5
31,Ørjan Nyland,GK,1,1,49.9,39.4,78.6,56.4,5.6
32,Jan Oblak,GK,0,3,27.6,31.5,46.6,38.7,6.2
33,Jesús Owono,GK,0,1,54.5,41.7,93.5,66.8,13.8
34,Iñaki Peña,GK,0,0,13.3,23.7,33.3,35.5,1.7
35,Predrag Rajković,GK,1,4,60.9,44.7,73.0,54.3,6.6
36,Pepe Reina,GK,0,0,24.1,30.2,36.4,38.8,2.6
37,Álex Remiro,GK,0,5,30.6,32.0,65.6,50.9,4.7
38,Rui Silva,GK,2,3,36.0,33.5,55.7,43.0,8.3
39,Unai Simón,GK,0,2,48.5,38.7,84.6,60.9,6.9
40,Antonio Sivera,GK,0,3,62.3,44.6,67.1,47.8,5.0
41,David Soria,GK,0,6,66.2,45.8,83.9,57.3,3.7
42,Marc-André ter Stegen,GK,0,1,14.4,26.3,25.8,30.9,3.9
43,Álvaro Vallés,GK,0,5,21.7,27.3,42.4,39.1,5.6
44,Fran Vieites,GK,1,0,37.8,36.5,54.3,46.4,4.6
45,Iván Villar,GK,0,2,35.4,34.4,60.2,45.7,3.7
